bat,date,trial,condition,catchTrial,temperature_C,humidity_pct,call_number,timestamp_s,timestamp_left_s,timestamp_right_s,duration_ms,ipi_ms,peakFreq_kHz,startFreq_kHz,startFreq_low_kHz,startFreq_high_kHz,endFreq_kHz,bandwidth_kHz,slope_kHz_per_ms,peakAmp_rear,peakAmp_left,peakAmp_right
mybat,1999-09-09,66,asfdgdsafg,1,99,0,21,4.281044,4.281976,4.282108,2.448,61.64,38.57421875,51.7578125,41.9921875,51.7578125,31.25,10.7421875,-8.3773743872549,2.02851160692005e-07,2.08805053815935e-09,2.47617037669882e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,22,4.342684,4.343104,4.343804,2.276,806.848,35.64453125,51.7578125,41.50390625,51.7578125,31.73828125,9.765625,-8.7959276142355,1.05353253369801e-07,6.69922865215096e-10,2.33385776813384e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,23,5.149532,5.151096,5.151152,3.392,364.208,33.203125,50.29296875,44.43359375,50.29296875,26.3671875,18.06640625,-7.05359117040094,5.48844048260013e-07,7.61839735912114e-09,6.71103024645914e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,24,5.51374,5.515836,5.515,2.892,163.024,34.66796875,52.734375,44.921875,52.734375,28.80859375,16.11328125,-8.27309171853389,6.55233690017367e-07,1.2711878653897e-08,7.2625696163731e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,25,5.676764,5.678208,5.677892,2.464,338.472,36.1328125,50.78125,42.96875,50.78125,30.76171875,12.20703125,-8.12480976055195,3.50979617641136e-07,6.04748647784767e-09,3.07239786246636e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,26,6.015236,6.016512,6.016728,3.328,478.856,39.0625,53.22265625,48.33984375,53.22265625,27.34375,20.99609375,-7.77611365685096,1.44427136324673e-06,4.18496065429926e-08,8.73164722419596e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,27,6.494092,6.495752,6.495592,3.148,186.204,37.59765625,52.734375,47.36328125,52.734375,29.296875,18.06640625,-7.44520330368488,1.05375501207935e-06,1.75318566663055e-08,7.90710909865552e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,28,6.680296,6.681388,6.681816,2.608,149.916,34.1796875,45.41015625,40.0390625,45.41015625,31.25,8.7890625,-5.42950776457055,3.02704252100941e-07,5.19511570401014e-09,2.31807932469115e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,29,6.830212,6.831652,6.831884,2.756,75.044,34.1796875,48.33984375,41.9921875,48.33984375,29.296875,12.6953125,-6.90964033018868,3.92459191606924e-07,2.70447634661641e-08,4.73658957430932e-07
mybat,1999-09-09,66,asfdgdsafg,1,99,0,30,6.905256,6.906588,6.90644,2.168,52.864,34.1796875,52.24609375,41.50390625,52.24609375,31.25,10.25390625,-9.68454508763838,1.72808437166577e-07,3.54763553536318e-09,1.86320348274297e-07
